date,match_id,url_match,home,away,home_score,away_score,matchweek
14/5/2026,3ql6gx72pau1cocng395b63h0,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3ql6gx72pau1cocng395b63h0,Real Madrid,Oviedo,2,0,36
14/5/2026,3ooiol9lfrmnu1bfpa099xhxw,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3ooiol9lfrmnu1bfpa099xhxw,Girona,Real Sociedad,1,1,36
14/5/2026,3psr2605g4d19sdukq2711gd0,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3psr2605g4d19sdukq2711gd0,Valencia,Rayo,1,1,36
13/5/2026,3oazgnn4to0s2xa8mtme8o36c,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3oazgnn4to0s2xa8mtme8o36c,Getafe,Mallorca,3,1,36
13/5/2026,3n65mnr76iym0yv9wmk1ug6c4,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3n65mnr76iym0yv9wmk1ug6c4,Alavés,Barcelona,1,0,36
13/5/2026,3q7xe5wdnb9goknf23kydt8no,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3q7xe5wdnb9goknf23kydt8no,Villarreal,Sevilla,2,3,36
13/5/2026,3p1xhxrl565qq3x5swdj977dg,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3p1xhxrl565qq3x5swdj977dg,Espanyol,Athletic,2,0,36
12/5/2026,3pfak8vavaxumsfvxz2yo48wk,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3pfak8vavaxumsfvxz2yo48wk,Osasuna,Atlético,1,2,36
12/5/2026,3njoj8cm40koxt8u94a1h3yfo,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3njoj8cm40koxt8u94a1h3yfo,Betis,Elche,2,1,36
12/5/2026,3nxmo9ajqnht9425i3n9szevo,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3nxmo9ajqnht9425i3n9szevo,Celta,Levante,2,3,36
11/5/2026,3je81f1r98u8rqsk99bzjwyl0,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3je81f1r98u8rqsk99bzjwyl0,Rayo,Girona,1,1,35
10/5/2026,3kigmlbqhunbi6gixcr7cz6z8,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3kigmlbqhunbi6gixcr7cz6z8,Barcelona,Real Madrid,2,0,35
10/5/2026,3msszbu4fc0okhk1cy6k7f09g,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3msszbu4fc0okhk1cy6k7f09g,Oviedo,Getafe,0,0,35
10/5/2026,3jromoqjf4ywqhz6gv1xpo0lw,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3jromoqjf4ywqhz6gv1xpo0lw,Athletic,Valencia,0,1,35
10/5/2026,3lazt464v4k6hjwcq9ljf0ums,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3lazt464v4k6hjwcq9ljf0ums,Mallorca,Villarreal,1,1,35
9/5/2026,3m24sjc20wo15f6mmkw3qeqz8,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3m24sjc20wo15f6mmkw3qeqz8,Real Sociedad,Betis,2,2,35
9/5/2026,3k57p4cr98z0cknr4b39kaivo,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3k57p4cr98z0cknr4b39kaivo,Atlético,Celta,0,1,35
9/5/2026,3mfg133s0kwtlbnaes34dxhxw,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3mfg133s0kwtlbnaes34dxhxw,Sevilla,Espanyol,2,1,35
9/5/2026,3logguenlwy065aa7gb1hf3tg,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3logguenlwy065aa7gb1hf3tg,Elche,Alavés,1,1,35
8/5/2026,3kvn4dplqj7ecztktcd1afhuc,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3kvn4dplqj7ecztktcd1afhuc,Levante,Osasuna,3,2,35
4/5/2026,3fzj97pollbznset694q593bo,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3fzj97pollbznset694q593bo,Sevilla,Real Sociedad,1,0,34
3/5/2026,3hj39lcguw2pwxyqlq86jqntg,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3hj39lcguw2pwxyqlq86jqntg,Espanyol,Real Madrid,0,2,34
3/5/2026,3gs6lllokoo9wk19co9k4yyac,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3gs6lllokoo9wk19co9k4yyac,Betis,Oviedo,3,0,34
3/5/2026,3hwithiznhjl7ecaoxv7hemfo,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3hwithiznhjl7ecaoxv7hemfo,Getafe,Rayo,0,2,34
3/5/2026,3h5n4m7klbnl9dx9yx9w5zk7o,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3h5n4m7klbnl9dx9yx9w5zk7o,Celta,Elche,3,1,34
2/5/2026,3j0vwkubszbtkr21f7upb4il0,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3j0vwkubszbtkr21f7upb4il0,Osasuna,Barcelona,1,2,34
2/5/2026,3getgrlqh307l5da5tutqt3pw,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3getgrlqh307l5da5tutqt3pw,Alavés,Athletic,2,4,34
2/5/2026,3indehxonm3sorl5dn4ojvj84,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3indehxonm3sorl5dn4ojvj84,Valencia,Atlético,0,2,34
2/5/2026,3fm6zt7nl7hs2oolj5ksug3ys,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3fm6zt7nl7hs2oolj5ksug3ys,Villarreal,Levante,5,1,34
1/5/2026,3i9z3nd0s3lxkt3l5hpy8wil0,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3i9z3nd0s3lxkt3l5hpy8wil0,Girona,Mallorca,0,1,34
23/4/2026,3dqveie2v1c7dydqpn40ccyl0,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3dqveie2v1c7dydqpn40ccyl0,Oviedo,Villarreal,1,1,33
23/4/2026,3f8qbmbzrg2o195netsozsmxg,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3f8qbmbzrg2o195netsozsmxg,Rayo,Espanyol,1,0,33
23/4/2026,3d093m8yc27r7p3gumt3gg4d0,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3d093m8yc27r7p3gumt3gg4d0,Levante,Sevilla,2,0,33
22/4/2026,3cmwlyivmqd5wesvf6o13mtjo,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3cmwlyivmqd5wesvf6o13mtjo,Barcelona,Celta,1,0,33
22/4/2026,3bvyrbl5qq7s93s7yat969q1g,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3bvyrbl5qq7s93s7yat969q1g,Real Sociedad,Getafe,0,1,33
22/4/2026,3ehzlcos9xo56ol70wttwmu50,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3ehzlcos9xo56ol70wttwmu50,Elche,Atlético,3,2,33
21/4/2026,3e4k0muk9qdqz748em5e5dtzo,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3e4k0muk9qdqz748em5e5dtzo,Real Madrid,Alavés,2,1,33
21/4/2026,3eve0z8ko67bbailw6nhbl3x0,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3eve0z8ko67bbailw6nhbl3x0,Girona,Betis,2,3,33
21/4/2026,3ddiuilkmzwc7z89f5cjy1pn8,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3ddiuilkmzwc7z89f5cjy1pn8,Mallorca,Valencia,1,1,33
21/4/2026,3c9hm7srm769qr9qfg4prhlhw,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3c9hm7srm769qr9qfg4prhlhw,Athletic,Osasuna,1,0,33
27/4/2026,394u1x6d00xy857x0kzh48oic,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/394u1x6d00xy857x0kzh48oic,Espanyol,Levante,0,0,32
26/4/2026,3b3hklhztdbiyiwxo9qwh80lw,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3b3hklhztdbiyiwxo9qwh80lw,Villarreal,Celta,2,1,32
26/4/2026,39ifvpi5wnexvu36qh4irjbx0,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/39ifvpi5wnexvu36qh4irjbx0,Osasuna,Sevilla,2,1,32
26/4/2026,3bihehy0y8mtxizg74rkkuh3o,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3bihehy0y8mtxizg74rkkuh3o,Oviedo,Elche,1,2,32
26/4/2026,39yze5lq7b1227m0ry1qpjfh0,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/39yze5lq7b1227m0ry1qpjfh0,Rayo,Real Sociedad,3,3,32
