week,match_id,team_code,Jersey Number,player_id,Team Formation,Team Player Formation,min,sec,minsec,team setp up,player on,formation change,second yellow,red card
28,2u1nsiwpvio7gzjecn4cnhq8k,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,10,1.0,10,42,10.7,0,0,1,0,0
28,2u1nsiwpvio7gzjecn4cnhq8k,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,11,1.0,9,25,9.4,0,0,1,0,0
29,3036nph9xhmltiks40aso8lck,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,2,1.0,48,42,48.7,1,0,0,0,0
29,3036nph9xhmltiks40aso8lck,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,2,1.0,48,41,48.7,0,0,1,0,0
29,3036nph9xhmltiks40aso8lck,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,11,1.0,6,4,6.1,0,0,1,0,0
30,31mkjysd2ypln9u9s88ge8qhg,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,2,1.0,74,38,74.6,1,0,0,0,0
30,31mkjysd2ypln9u9s88ge8qhg,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,11,1.0,8,30,8.5,0,0,1,0,0
30,31mkjysd2ypln9u9s88ge8qhg,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,2,1.0,15,5,15.1,0,0,1,0,0
31,36vy9cu402k8m0goxchkpmpzo,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,10,1.0,89,46,89.8,1,0,0,0,0
31,36vy9cu402k8m0goxchkpmpzo,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,2,1.0,14,4,14.1,0,0,1,0,0
32,38dsrz394cwn8gbxbm6ahnllg,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,10,1.0,99,55,99.9,1,0,0,0,0
33,3e4k0muk9qdqz748em5e5dtzo,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,10,1.0,64,1,64.0,1,0,0,0,0
33,3e4k0muk9qdqz748em5e5dtzo,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,10,1.0,16,40,16.7,0,0,1,0,0
33,3e4k0muk9qdqz748em5e5dtzo,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,10,1.0,19,51,19.8,0,0,1,0,0
34,3getgrlqh307l5da5tutqt3pw,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,10,1.0,75,27,75.4,1,0,0,0,0
34,3getgrlqh307l5da5tutqt3pw,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,11,1.0,25,47,25.8,0,0,1,0,0
35,3logguenlwy065aa7gb1hf3tg,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,10,1.0,45,59,46.0,1,0,0,0,0
35,3logguenlwy065aa7gb1hf3tg,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,10,1.0,21,41,21.7,0,0,1,0,0
35,3logguenlwy065aa7gb1hf3tg,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,10,1.0,15,0,15.0,0,0,1,0,0
35,3logguenlwy065aa7gb1hf3tg,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,11,1.0,17,25,17.4,0,0,1,0,0
36,3n65mnr76iym0yv9wmk1ug6c4,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,10,1.0,52,39,52.6,1,0,0,0,0
36,3n65mnr76iym0yv9wmk1ug6c4,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,11,1.0,12,26,12.4,0,0,1,0,0
36,3n65mnr76iym0yv9wmk1ug6c4,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,11,1.0,29,13,29.2,0,0,1,0,0
37,3tkk80csb0shs70l1ucy03uok,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,12,1.0,70,3,70.1,1,0,0,0,0
37,3tkk80csb0shs70l1ucy03uok,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,11,1.0,25,47,25.8,0,0,1,0,0
38,3up18t49bq8thej74h5lgf0us,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,12,1.0,99,22,99.4,1,0,0,0,0
1,15ir6pt6au1v00gtef02v4k,ALA,2.0,658ed5dqfrdd5fe7ayo9eo1rd,7,5.0,94,44,94.7,1,0,0,0,0
1,15ir6pt6au1v00gtef02v4k,ALA,2.0,658ed5dqfrdd5fe7ayo9eo1rd,21,5.0,8,24,8.4,0,0,1,0,0
2,5chzep0qs16scjx4m95i8owk,ALA,2.0,658ed5dqfrdd5fe7ayo9eo1rd,2,5.0,61,48,61.8,1,0,0,0,0
2,5chzep0qs16scjx4m95i8owk,ALA,2.0,658ed5dqfrdd5fe7ayo9eo1rd,2,5.0,18,59,19.0,0,0,1,0,0
2,5chzep0qs16scjx4m95i8owk,ALA,2.0,658ed5dqfrdd5fe7ayo9eo1rd,2,6.0,18,30,18.5,0,0,1,0,0
3,7kvwnpl7nq950703yan4bspg,ALA,2.0,658ed5dqfrdd5fe7ayo9eo1rd,2,5.0,61,10,61.2,1,0,0,0,0
3,7kvwnpl7nq950703yan4bspg,ALA,2.0,658ed5dqfrdd5fe7ayo9eo1rd,8,5.0,20,57,20.9,0,0,1,0,0
3,7kvwnpl7nq950703yan4bspg,ALA,2.0,658ed5dqfrdd5fe7ayo9eo1rd,7,5.0,9,17,9.3,0,0,1,0,0
3,7kvwnpl7nq950703yan4bspg,ALA,2.0,658ed5dqfrdd5fe7ayo9eo1rd,7,5.0,16,36,16.6,0,0,1,0,0
4,d3y8iv1iz7j4jz4loix4p9uc,ALA,2.0,658ed5dqfrdd5fe7ayo9eo1rd,8,5.0,47,7,47.1,1,0,0,0,0
4,d3y8iv1iz7j4jz4loix4p9uc,ALA,2.0,658ed5dqfrdd5fe7ayo9eo1rd,8,5.0,29,20,29.3,0,0,1,0,0
4,d3y8iv1iz7j4jz4loix4p9uc,ALA,2.0,658ed5dqfrdd5fe7ayo9eo1rd,10,5.0,19,50,19.8,0,0,1,0,0
5,e7g814p4n7r5gtpdqewz89p0,ALA,2.0,658ed5dqfrdd5fe7ayo9eo1rd,4,5.0,60,55,60.9,1,0,0,0,0
5,e7g814p4n7r5gtpdqewz89p0,ALA,2.0,658ed5dqfrdd5fe7ayo9eo1rd,4,5.0,13,26,13.4,0,0,1,0,0
5,e7g814p4n7r5gtpdqewz89p0,ALA,2.0,658ed5dqfrdd5fe7ayo9eo1rd,2,5.0,26,44,26.7,0,0,1,0,0
6,k7c27bcujfnarux79y4ike1g,ALA,2.0,658ed5dqfrdd5fe7ayo9eo1rd,2,5.0,96,6,96.1,1,0,0,0,0
22,29q144duutijtrpdfzof1zims,ALA,2.0,658ed5dqfrdd5fe7ayo9eo1rd,2,5.0,15,59,16.0,0,1,0,0,0
22,29q144duutijtrpdfzof1zims,ALA,2.0,658ed5dqfrdd5fe7ayo9eo1rd,2,5.0,12,3,12.0,0,0,1,0,0
22,29q144duutijtrpdfzof1zims,ALA,2.0,658ed5dqfrdd5fe7ayo9eo1rd,8,5.0,23,4,23.1,0,0,1,0,0
23,2cbrliiyprq7a205rp3w1qz9w,ALA,2.0,658ed5dqfrdd5fe7ayo9eo1rd,2,5.0,62,32,62.5,1,0,0,0,0
23,2cbrliiyprq7a205rp3w1qz9w,ALA,2.0,658ed5dqfrdd5fe7ayo9eo1rd,2,5.0,36,41,36.7,0,0,1,0,0
24,2h7d8ukaxlbxzfalz2jej5us4,ALA,2.0,658ed5dqfrdd5fe7ayo9eo1rd,2,5.0,49,3,49.0,1,0,0,0,0
24,2h7d8ukaxlbxzfalz2jej5us4,ALA,2.0,658ed5dqfrdd5fe7ayo9eo1rd,2,5.0,57,10,57.2,0,0,1,0,0
26,2of0ec1j3qlwnm140nciptixg,ALA,2.0,658ed5dqfrdd5fe7ayo9eo1rd,2,10.0,0,1,0.0,0,1,0,0,0
26,2of0ec1j3qlwnm140nciptixg,ALA,2.0,658ed5dqfrdd5fe7ayo9eo1rd,10,5.0,27,8,27.1,0,0,1,0,0
26,2of0ec1j3qlwnm140nciptixg,ALA,2.0,658ed5dqfrdd5fe7ayo9eo1rd,2,5.0,8,32,8.5,0,0,1,0,0
1,15ir6pt6au1v00gtef02v4k,ALA,3.0,2ww626a9v31b072prdx0xf1g4,7,3.0,0,37,0.6,0,1,0,0,0
1,15ir6pt6au1v00gtef02v4k,ALA,3.0,2ww626a9v31b072prdx0xf1g4,21,3.0,8,24,8.4,0,0,1,0,0
5,e7g814p4n7r5gtpdqewz89p0,ALA,3.0,2ww626a9v31b072prdx0xf1g4,4,3.0,0,16,0.3,0,1,0,0,0
5,e7g814p4n7r5gtpdqewz89p0,ALA,3.0,2ww626a9v31b072prdx0xf1g4,2,3.0,26,44,26.7,0,0,1,0,0
6,k7c27bcujfnarux79y4ike1g,ALA,3.0,2ww626a9v31b072prdx0xf1g4,2,3.0,88,50,88.8,1,0,0,0,0
7,nyhzbo7wncd07zhc7pysjris,ALA,3.0,2ww626a9v31b072prdx0xf1g4,7,3.0,0,14,0.2,0,1,0,0,0
7,nyhzbo7wncd07zhc7pysjris,ALA,3.0,2ww626a9v31b072prdx0xf1g4,2,3.0,17,11,17.2,0,0,1,0,0
7,nyhzbo7wncd07zhc7pysjris,ALA,3.0,2ww626a9v31b072prdx0xf1g4,2,3.0,13,55,13.9,0,0,1,0,0
8,pftv5ujrolgrr85ijlnj728k,ALA,3.0,2ww626a9v31b072prdx0xf1g4,8,3.0,74,5,74.1,1,0,0,0,0
8,pftv5ujrolgrr85ijlnj728k,ALA,3.0,2ww626a9v31b072prdx0xf1g4,8,3.0,13,3,13.0,0,0,1,0,0
8,pftv5ujrolgrr85ijlnj728k,ALA,3.0,2ww626a9v31b072prdx0xf1g4,8,11.0,12,34,12.6,0,0,1,0,0
9,t6q5ftwcnm8os0cb3stk1kic,ALA,3.0,2ww626a9v31b072prdx0xf1g4,12,3.0,70,32,70.5,1,0,0,0,0
9,t6q5ftwcnm8os0cb3stk1kic,ALA,3.0,2ww626a9v31b072prdx0xf1g4,17,3.0,22,30,22.5,0,0,1,0,0
10,y38fh1awgi9yuxppo1n61ous,ALA,3.0,2ww626a9v31b072prdx0xf1g4,2,3.0,85,21,85.4,1,0,0,0,0
10,y38fh1awgi9yuxppo1n61ous,ALA,3.0,2ww626a9v31b072prdx0xf1g4,2,3.0,11,47,11.8,0,0,1,0,0
11,144g7b7ez101gt3yczm0yblzo,ALA,3.0,2ww626a9v31b072prdx0xf1g4,2,3.0,88,26,88.4,1,0,0,0,0
12,16fj9cb2vp81vtnlvqdcoou1g,ALA,3.0,2ww626a9v31b072prdx0xf1g4,2,3.0,46,11,46.2,1,0,0,0,0
12,16fj9cb2vp81vtnlvqdcoou1g,ALA,3.0,2ww626a9v31b072prdx0xf1g4,2,3.0,42,18,42.3,0,0,1,0,0
13,1bpdzkqykdmb75z4uarby311w,ALA,3.0,2ww626a9v31b072prdx0xf1g4,2,3.0,97,28,97.5,1,0,0,0,0
15,1it612xdkwgzafk6n7xtzy8es,ALA,3.0,2ww626a9v31b072prdx0xf1g4,7,10.0,0,1,0.0,0,1,0,0,0
15,1it612xdkwgzafk6n7xtzy8es,ALA,3.0,2ww626a9v31b072prdx0xf1g4,7,11.0,1,13,1.2,0,0,1,0,0
16,1m7vig0k2tt5q9apse7108pas,ALA,3.0,2ww626a9v31b072prdx0xf1g4,2,3.0,8,14,8.2,0,1,0,0,0
18,1ts1vbi2mugv1401ifojdtqtw,ALA,3.0,2ww626a9v31b072prdx0xf1g4,7,3.0,47,53,47.9,1,0,0,0,0
18,1ts1vbi2mugv1401ifojdtqtw,ALA,3.0,2ww626a9v31b072prdx0xf1g4,2,3.0,43,50,43.8,0,0,1,0,0
18,1ts1vbi2mugv1401ifojdtqtw,ALA,3.0,2ww626a9v31b072prdx0xf1g4,6,3.0,6,59,7.0,0,0,1,0,0
19,1uwb3z5cnpg9o84qdcr5r2o7o,ALA,3.0,2ww626a9v31b072prdx0xf1g4,8,2.0,0,12,0.2,0,1,0,0,0
19,1uwb3z5cnpg9o84qdcr5r2o7o,ALA,3.0,2ww626a9v31b072prdx0xf1g4,8,3.0,37,30,37.5,0,0,1,0,0
21,24ggs30od6yf2dz3uyz8zjlec,ALA,3.0,2ww626a9v31b072prdx0xf1g4,6,11.0,4,52,4.9,0,1,0,0,0
22,29q144duutijtrpdfzof1zims,ALA,3.0,2ww626a9v31b072prdx0xf1g4,2,3.0,0,14,0.2,0,1,0,0,0
22,29q144duutijtrpdfzof1zims,ALA,3.0,2ww626a9v31b072prdx0xf1g4,2,3.0,12,3,12.0,0,0,1,0,0
22,29q144duutijtrpdfzof1zims,ALA,3.0,2ww626a9v31b072prdx0xf1g4,8,3.0,23,4,23.1,0,0,1,0,0
