team_name,team_code,Jersey Number,player_name,player_id,Short Display Name,Display Name
FC Barcelona,BAR,21,F. de Jong,ezviixcyaaj162saxs2yl27s9,de Jong,F. de Jong
FC Barcelona,BAR,22,Marc Bernal,4et6r42e7q2ojgaumwnua2kgk,Bernal,M. Bernal
FC Barcelona,BAR,23,J. Koundé,cscn06kwqfzo09h0dc5ybt1pl,Koundé,J. Koundé
FC Barcelona,BAR,24,Eric García,4ggz7e009bq3yltc9o6mifbah,E. García,E. García
FC Barcelona,BAR,25,W. Szczęsny,6ofu6yc2qwp5ii9cerdq1tk9h,Szczęsny,W. Szczęsny
FC Barcelona,BAR,26,Jofre Torrents,30pqkknatgokvb4ezeesbc00k,Torrents,J. Torrents
FC Barcelona,BAR,27,Dro Fernández,et72bvivn2sh4gq9lb2fbsm50,D. Fernández,D. Fernández
FC Barcelona,BAR,29,Toni Fernández,9sanzxzkj52vz1mqj1d7g08b8,T. Fernández,T. Fernández
FC Barcelona,BAR,36,Álvaro Cortés,84ifgcsn9xuvyw4m4lrcf57v8,Cortés,Á. Cortés
FC Barcelona,BAR,42,Xavi Espart,1jpq7xvsg1xh51ff03qukrj84,Espart,X. Espart
FC Barcelona,BAR,43,Tomás Marqués,atdg5275m47swrm5nrip8m9lg,Marqués,T. Marqués
Real Betis Balompié,BET,1,Álvaro Valles,routhh0ialijcg3egagouig9,Valles,Á. Valles
Real Betis Balompié,BET,2,Héctor Bellerín,3e8mxxfs5q7gt4lg2beqpkwyd,Bellerín,H. Bellerín
Real Betis Balompié,BET,3,Diego Llorente,9ao7l82r1xd2rjnvv5u6plcr9,Llorente,D. Llorente
Real Betis Balompié,BET,4,Natan,2r4450bqkmpcf1ogmcfhvczmy,Natan,Natan
Real Betis Balompié,BET,5,Marc Bartra,evpjdko94awbqbbl5wl9hto7p,Bartra,M. Bartra
Real Betis Balompié,BET,6,Sergi Altimira,5o07mnpidavbe0hqoqzwgom50,Altimira,S. Altimira
Real Betis Balompié,BET,7,Antony,v22q59d00b5v78rgx7v8z3vu,Antony,Antony
Real Betis Balompié,BET,8,Pablo Fornals,6aix9yu384pv1caanqiol231l,Fornals,P. Fornals
